Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Zn K-L3),E(Zn K-L3),G(Zn K-M3),E(Zn K-M3),G(Zn L3-M5),E(Zn L3-M5)
84,0.321753,1.59278,0.104972,0.213237,0.208832,0.213237,0.209951,1.35372,0.446544
85,0.325583,1.56134,0.0996221,0.204143,0.199876,0.204143,0.20096,1.32645,0.431811
86,0.329414,1.53022,0.0945257,0.195247,0.191118,0.195247,0.192167,1.29946,0.417476
87,0.333244,1.49941,0.0896716,0.186549,0.182559,0.186549,0.183572,1.27275,0.403531
88,0.337074,1.46891,0.0850491,0.178049,0.174198,0.178049,0.175176,1.24631,0.389966
89,0.340905,1.43872,0.0806476,0.169747,0.166034,0.169747,0.166977,1.22015,0.376774
90,0.344735,1.40885,0.0764572,0.161644,0.158069,0.161644,0.158977,1.19427,0.363945
91,0.348566,1.37929,0.0724684,0.153739,0.150301,0.153739,0.151174,1.16867,0.351472
92,0.352396,1.35004,0.0686722,0.146032,0.142731,0.146032,0.143569,1.14335,0.339345
93,0.356226,1.32111,0.0650596,0.138523,0.135358,0.138523,0.136161,1.1183,0.327557
94,0.360057,1.29249,0.0616225,0.131212,0.128182,0.131212,0.128951,1.09353,0.3161
95,0.363887,1.26418,0.0583529,0.124099,0.121204,0.124099,0.121939,1.06903,0.304967
96,0.367717,1.23619,0.055243,0.117185,0.114423,0.117185,0.115124,1.04482,0.294149
97,0.371548,1.20851,0.0522856,0.110469,0.107838,0.110469,0.108506,1.02088,0.28364
98,0.375378,1.18115,0.0494737,0.103951,0.10145,0.103951,0.102085,0.997218,0.273432
99,0.379209,1.15409,0.0468006,0.0976312,0.0952586,0.0976312,0.0958605,0.973835,0.263518
100,0.383039,1.12736,0.0442599,0.0915095,0.0892635,0.0915095,0.0898333,0.950729,0.253891
101,0.386869,1.10093,0.0418455,0.0855861,0.0834647,0.0855861,0.0840028,0.9279,0.244545
102,0.3907,1.07482,0.0395515,0.0798608,0.077862,0.0798608,0.078369,0.905349,0.235472
103,0.39453,1.04902,0.0373724,0.0743338,0.0724553,0.0743338,0.0729317,0.883075,0.226666
104,0.398361,1.02353,0.0353028,0.0690049,0.0672443,0.0690049,0.0676908,0.861078,0.218121
105,0.402191,0.998362,0.0333377,0.0638741,0.062229,0.0638741,0.0626462,0.839359,0.209831
106,0.406021,0.973503,0.031472,0.0589416,0.0574093,0.0589416,0.0577978,0.817918,0.201788
107,0.409852,0.948958,0.0297011,0.0542073,0.0527849,0.0542073,0.0531455,0.796754,0.193989
108,0.413682,0.924727,0.0280207,0.0496711,0.0483557,0.0496711,0.0486892,0.775867,0.186426
109,0.417513,0.900808,0.0264264,0.0453331,0.0441216,0.0453331,0.0444287,0.755257,0.179093
110,0.421343,0.877203,0.0249141,0.0411933,0.0400825,0.0411933,0.040364,0.734926,0.171986
111,0.425173,0.853912,0.0234799,0.0372516,0.0362381,0.0372516,0.036495,0.714871,0.165099
112,0.429004,0.830934,0.0221202,0.0335082,0.0325884,0.0335082,0.0328215,0.695094,0.158426
113,0.432834,0.808269,0.0208314,0.0299629,0.0291332,0.0299629,0.0293435,0.675594,0.151962
114,0.436665,0.785918,0.0196101,0.0266158,0.0258724,0.0266158,0.0260608,0.656372,0.145702
115,0.440495,0.76388,0.018453,0.0234669,0.0228058,0.0234669,0.0229733,0.637427,0.13964
116,0.444325,0.742155,0.0173571,0.0205162,0.0199332,0.0205162,0.0200809,0.61876,0.133773
117,0.448156,0.720744,0.0163193,0.0177637,0.0172546,0.0177637,0.0173835,0.60037,0.128095
118,0.451986,0.699646,0.0153369,0.0152093,0.0147698,0.0152093,0.0148811,0.582257,0.122601
119,0.455816,0.678862,0.0144073,0.0128531,0.0124786,0.0128531,0.0125734,0.564422,0.117286
120,0.459647,0.658391,0.0135277,0.0106951,0.0103809,0.0106951,0.0104604,0.546864,0.112147
121,0.463477,0.638233,0.0126957,0.00873527,0.00847652,0.00873527,0.00854203,0.529584,0.107179
122,0.467308,0.618389,0.0119091,0.00697363,0.00676538,0.00697363,0.0068181,0.512581,0.102377
123,0.471138,0.598858,0.0111656,0.00541017,0.0052473,0.00541017,0.00528853,0.495856,0.0977378
124,0.474968,0.579641,0.010463,0.00404489,0.00392215,0.00404489,0.00395322,0.479408,0.0932563
125,0.478799,0.560737,0.00979932,0.00287779,0.00278977,0.00287779,0.00281205,0.463237,0.0889288
126,0.482629,0.542146,0.00917261,0.00190887,0.00185003,0.00190887,0.00186492,0.447344,0.0847513
127,0.48646,0.523869,0.00858101,0.00113813,0.00110277,0.00113813,0.00111172,0.431728,0.08072
128,0.49029,0.505905,0.00802277,0.000565572,0.000547866,0.000565572,0.000552346,0.41639,0.0768311
129,0.49412,0.488254,0.0074962,0.000191196,0.000185164,0.000191196,0.00018669,0.401329,0.0730808
130,0.497951,0.470917,0.0069997,1.49996e-05,1.45228e-05,1.49996e-05,1.46434e-05,0.386545,0.0694655
131,0.501781,0.453894,0.00653173,0,0,0,0,0.372039,0.0659817
132,0.505612,0.437183,0.00609084,0,0,0,0,0.357811,0.0626258
133,0.509442,0.420787,0.00567564,0,0,0,0,0.343859,0.0593946
134,0.513272,0.404703,0.00528481,0,0,0,0,0.330185,0.0562847
