Z(um),G(O K-L3),E(O K-L3),G(Zn K-L3),E(Zn K-L3),G(Zn K-M3),E(Zn K-M3),G(Zn L3-M5),E(Zn L3-M5)
0,0,0,0,0,0,0,0,0
0.00683266,1.78616,1.72926,1.34388,1.34355,1.34388,1.34363,1.75915,1.73607
0.0136653,1.88505,1.76686,1.36963,1.36895,1.36963,1.36912,1.8415,1.79351
0.020498,1.9807,1.79737,1.39102,1.38998,1.39102,1.39025,1.92095,1.84635
0.0273306,2.0731,1.82129,1.40806,1.40666,1.40806,1.40702,1.99748,1.89473
0.0341633,2.16225,1.83909,1.42074,1.41897,1.42074,1.41942,2.0711,1.93879
0.040996,2.24814,1.85123,1.42906,1.42693,1.42906,1.42748,2.14181,1.97868
0.0478286,2.33079,1.85815,1.43303,1.43054,1.43303,1.43117,2.20961,2.01454
0.0546613,2.41019,1.86023,1.43264,1.42979,1.43264,1.43052,2.27449,2.0465
0.061494,2.48633,1.85787,1.4279,1.42471,1.4279,1.42552,2.33646,2.07468
0.0683266,2.55923,1.85142,1.41879,1.41527,1.41879,1.41617,2.39552,2.09922
0.0751593,2.62888,1.84122,1.40534,1.4015,1.40534,1.40248,2.45166,2.12024
0.0819919,2.69528,1.82758,1.38753,1.38339,1.38753,1.38445,2.50489,2.13787
0.0888246,2.75842,1.81082,1.36549,1.36108,1.36549,1.36221,2.55521,2.15221
0.0956573,2.81832,1.7912,1.34232,1.33766,1.34232,1.33885,2.60262,2.16339
0.10249,2.87497,1.76899,1.31935,1.31444,1.31935,1.3157,2.64712,2.17151
0.109323,2.92836,1.74444,1.29658,1.29144,1.29658,1.29275,2.6887,2.17669
0.116155,2.97851,1.71779,1.27401,1.26864,1.27401,1.27002,2.72737,2.17904
0.122988,3.02541,1.68925,1.25164,1.24605,1.25164,1.24748,2.76313,2.17865
0.129821,3.06906,1.65903,1.22947,1.22368,1.22947,1.22516,2.79597,2.17563
0.136653,3.10945,1.62732,1.20749,1.2015,1.20749,1.20303,2.82591,2.17008
0.143486,3.1466,1.5943,1.18571,1.17954,1.18571,1.18112,2.85293,2.1621
0.150319,3.1805,1.56014,1.16413,1.15779,1.16413,1.15941,2.87704,2.15177
0.157151,3.21114,1.52499,1.14275,1.13624,1.14275,1.1379,2.89823,2.13919
0.163984,3.23854,1.48901,1.12157,1.1149,1.12157,1.1166,2.91652,2.12445
0.170817,3.26269,1.45232,1.10058,1.09377,1.10058,1.09551,2.93189,2.10763
0.177649,3.28358,1.41506,1.0798,1.07284,1.0798,1.07462,2.94434,2.08883
0.184482,3.30123,1.37734,1.05921,1.05212,1.05921,1.05393,2.95389,2.06811
0.191315,3.31563,1.33928,1.03882,1.03161,1.03882,1.03345,2.96052,2.04557
0.198147,3.32678,1.30097,1.01862,1.01131,1.01862,1.01318,2.96424,2.02128
0.20498,3.33467,1.26252,0.99863,0.991213,0.99863,0.993106,2.96505,1.99531
0.211813,3.33932,1.224,0.978834,0.971322,0.978834,0.97324,2.96295,1.96774
0.218645,3.34072,1.18551,0.959236,0.951638,0.959236,0.953578,2.95793,1.93864
0.225478,3.33886,1.1471,0.939836,0.93216,0.939836,0.93412,2.95,1.90808
0.232311,3.33376,1.10886,0.920634,0.912889,0.920634,0.914866,2.93916,1.87614
0.239143,3.32541,1.07085,0.901631,0.893823,0.901631,0.895816,2.92541,1.84286
0.245976,3.31381,1.03312,0.882826,0.874963,0.882826,0.87697,2.90874,1.80833
0.252809,3.29895,0.99572,0.864219,0.856309,0.864219,0.858327,2.88916,1.7726
0.259641,3.28085,0.95871,0.84581,0.837861,0.84581,0.839889,2.86667,1.73573
0.266474,3.2595,0.922127,0.827599,0.819617,0.827599,0.821654,2.84127,1.69779
0.273306,3.23489,0.886013,0.809587,0.801579,0.809587,0.803622,2.81295,1.65882
0.280139,3.20704,0.850401,0.791773,0.783746,0.791773,0.785794,2.78172,1.61889
0.286972,3.17594,0.815325,0.774156,0.766119,0.774156,0.768169,2.74758,1.57804
0.293804,3.14159,0.780813,0.756739,0.748695,0.756739,0.750747,2.71053,1.53634
0.300637,3.10398,0.746891,0.739519,0.731477,0.739519,0.733528,2.6719,1.49458
0.30747,3.06313,0.71358,0.722497,0.714463,0.722497,0.716511,2.63353,1.4538
0.314302,3.01972,0.681057,0.705674,0.697653,0.705674,0.699698,2.59545,1.41398
0.321135,2.97637,0.649895,0.689049,0.681048,0.689049,0.683087,2.55764,1.37511
0.327968,2.93334,0.620094,0.672622,0.664646,0.672622,0.666679,2.52011,1.33716
0.3348,2.89061,0.591596,0.656393,0.648449,0.656393,0.650473,2.48285,1.30011
0.341633,2.84821,0.564347,0.640362,0.632455,0.640362,0.63447,2.44587,1.26395
0.348466,2.80611,0.538293,0.62453,0.616665,0.62453,0.618669,2.40917,1.22865
0.355298,2.76433,0.513385,0.608895,0.601078,0.608895,0.60307,2.37275,1.19421
0.362131,2.72286,0.489574,0.593459,0.585694,0.593459,0.587673,2.33661,1.16059
0.368964,2.68171,0.466814,0.578221,0.570514,0.578221,0.572477,2.30074,1.12779
0.375796,2.64086,0.44506,0.563182,0.555537,0.563182,0.557484,2.26515,1.09578
0.382629,2.60034,0.424269,0.54834,0.540762,0.54834,0.542692,2.22984,1.06455
0.389462,2.56012,0.404401,0.533697,0.52619,0.533697,0.528102,2.1948,1.03408
0.396294,2.52022,0.385415,0.519251,0.511821,0.519251,0.513713,2.16004,1.00435
0.403127,2.48063,0.367276,0.505004,0.497654,0.505004,0.499526,2.12556,0.975355
0.40996,2.44136,0.349946,0.490955,0.48369,0.490955,0.48554,2.09136,0.947073
0.416792,2.4024,0.333391,0.477105,0.469927,0.477105,0.471754,2.05744,0.91949
0.423625,2.36375,0.317578,0.463452,0.456367,0.463452,0.45817,2.02379,0.892589
0.430458,2.32541,0.302474,0.449998,0.443008,0.449998,0.444787,1.99042,0.866356
0.43729,2.28739,0.28805,0.436742,0.429851,0.436742,0.431605,1.95732,0.840777
0.444123,2.24968,0.274277,0.423684,0.416895,0.423684,0.418623,1.92451,0.815838
0.450956,2.21229,0.261125,0.410824,0.404141,0.410824,0.405842,1.89197,0.791524
0.457788,2.17521,0.248569,0.398163,0.391588,0.398163,0.393261,1.85971,0.767823
0.464621,2.13844,0.236583,0.385699,0.379236,0.385699,0.380881,1.82772,0.74472
0.471454,2.10199,0.225141,0.373434,0.367085,0.373434,0.3687,1.79602,0.722202
0.478286,2.06585,0.214221,0.361367,0.355135,0.361367,0.35672,1.76459,0.700257
0.485119,2.03002,0.2038,0.349498,0.343386,0.349498,0.34494,1.73344,0.678872
0.491952,1.99451,0.193856,0.337827,0.331837,0.337827,0.33336,1.70256,0.658035
0.498784,1.95931,0.184368,0.326355,0.320488,0.326355,0.32198,1.67197,0.637734
