"Z.um","Gen.O.K.L2.","Emit.O.K.L2.","Gen.O.K.L3.","Emit.O.K.L3.","Gen.Zn.K.L2.","Emit.Zn.K.L2.","Gen.Zn.K.L3.","Emit.Zn.K.L3.","Gen.Zn.K.M2.","Emit.Zn.K.M2.","Gen.Zn.K.M3.","Emit.Zn.K.M3.","Gen.Zn.L1.M2.","Emit.Zn.L1.M2.","Gen.Zn.L1.M3.","Emit.Zn.L1.M3.","Gen.Zn.L1.M5.","Emit.Zn.L1.M5.","Gen.Zn.L2.M1.","Emit.Zn.L2.M1.","Gen.Zn.L2.M3.","Emit.Zn.L2.M3.","Gen.Zn.L2.M4.","Emit.Zn.L2.M4.","Gen.Zn.L2.N1.","Emit.Zn.L2.N1.","Gen.Zn.L3.M1.","Emit.Zn.L3.M1.","Gen.Zn.L3.M2.","Emit.Zn.L3.M2.","Gen.Zn.L3.M3.","Emit.Zn.L3.M3.","Gen.Zn.L3.M4.","Emit.Zn.L3.M4.","Gen.Zn.L3.M5.","Emit.Zn.L3.M5.","Gen_I.O.K.L2.","Emit_I.O.K.L2.","Gen_I.O.K.L3.","Emit_I.O.K.L3.","Gen_I.Zn.K.L2.","Emit_I.Zn.K.L2.","Gen_I.Zn.K.L3.","Emit_I.Zn.K.L3.","Gen_I.Zn.K.M2.","Emit_I.Zn.K.M2.","Gen_I.Zn.K.M3.","Emit_I.Zn.K.M3.","Gen_I.Zn.L1.M2.","Emit_I.Zn.L1.M2.","Gen_I.Zn.L1.M3.","Emit_I.Zn.L1.M3.","Gen_I.Zn.L1.M5.","Emit_I.Zn.L1.M5.","Gen_I.Zn.L2.M1.","Emit_I.Zn.L2.M1.","Gen_I.Zn.L2.M3.","Emit_I.Zn.L2.M3.","Gen_I.Zn.L2.M4.","Emit_I.Zn.L2.M4.","Gen_I.Zn.L2.N1.","Emit_I.Zn.L2.N1.","Gen_I.Zn.L3.M1.","Emit_I.Zn.L3.M1.","Gen_I.Zn.L3.M2.","Emit_I.Zn.L3.M2.","Gen_I.Zn.L3.M3.","Emit_I.Zn.L3.M3.","Gen_I.Zn.L3.M4.","Emit_I.Zn.L3.M4.","Gen_I.Zn.L3.M5.","Emit_I.Zn.L3.M5."
0.387500000000728,2.654,0.423,2.654,0.423,0.431,0.425,0.431,0.425,0.431,0.426,0.431,0.426,2.343,0.117,2.343,0.117,2.343,0.195,17.987,6.805,17.993,7.627,467.922,34.005,17.987,1.346,503.929,179.434,16.057,6.468,16.036,6.46,503.931,238.218,503.928,238.217,298269.342,47506.309,594179.335,94636.837,21196.545,20897.592,41272.968,40695.14,2621.154,2593.804,5124.568,5071.097,29031.078,1450.133,46183.162,2306.898,154.074,12.813,39530.654,14955.427,1313.228,556.687,427030.529,31033.146,9473.412,709.041,80035.176,28498.183,1425.164,574.105,1377.555,554.927,77391.321,36584.383,820181.724,387715.856
0.402500000000146,2.558,0.38,2.558,0.38,0.385,0.379,0.385,0.379,0.385,0.381,0.385,0.381,2.255,0.1,2.255,0.1,2.255,0.171,17.313,6.312,17.319,7.106,450.372,29.619,17.314,1.174,485.058,166.054,15.456,6.014,15.436,6.007,485.061,222.847,485.058,222.845,287541.065,42704.469,572807.642,85071.14,18927.104,18650.076,36854.013,36318.561,2340.516,2315.17,4575.899,4526.345,27942.525,1245.165,44451.472,1980.832,148.296,11.218,38050.531,13872.263,1264.058,518.611,411014.092,27030.32,9118.704,618.32,77038.087,26373.095,1371.881,533.831,1326.053,515.998,74493.237,34223.714,789468.258,362697.841
0.417499999999563,2.518,0.349,2.518,0.349,0.344,0.338,0.344,0.338,0.344,0.34,0.344,0.34,2.216,0.088,2.216,0.088,2.216,0.153,17.02,5.98,17.025,6.761,442.703,26.355,17.02,1.046,476.838,156.963,15.196,5.712,15.176,5.705,476.841,212.926,476.838,212.924,282956.396,39189.506,563674.569,78069.018,16899.383,16643.083,32905.725,32410.337,2089.769,2066.318,4085.668,4039.819,27460.313,1092.076,43684.361,1737.294,145.737,10.031,37405.539,13142.986,1242.631,493.474,404015.36,24052.149,8964.134,550.853,75732.593,24929.279,1348.732,507.013,1303.676,490.076,73230.867,32700.094,776089.857,346550.74
0.432000000000698,2.407,0.311,2.407,0.311,0.297,0.292,0.297,0.292,0.297,0.293,0.297,0.293,2.11,0.075,2.11,0.075,2.11,0.132,16.214,5.491,16.22,6.235,421.725,22.732,16.215,0.903,454.302,143.808,14.478,5.258,14.459,5.251,454.304,197.185,454.301,197.184,270464.896,34940.745,538790.379,69605.104,14592.097,14363.023,28413.081,27970.315,1804.452,1783.49,3527.848,3486.867,26146.835,928.243,41594.857,1476.666,138.766,8.692,35635.658,12068.437,1183.835,455.085,384870.983,20745.886,8539.986,475.697,72153.306,22839.867,1285.075,466.727,1242.146,451.135,69769.817,30282.75,739410.16,320932.085
0.446500000000015,2.338,0.282,2.338,0.282,0.256,0.251,0.256,0.251,0.256,0.253,0.256,0.253,2.032,0.064,2.032,0.064,2.032,0.116,15.642,5.105,15.647,5.822,406.796,19.848,15.642,0.79,438.344,133.417,13.971,4.902,13.952,4.895,438.347,184.919,438.344,184.918,262772.731,31657.793,523466.895,63065.169,12574.094,12370.032,24483.716,24089.293,1554.906,1536.232,3039.967,3003.458,25181.691,797.759,40059.488,1269.09,133.644,7.617,34376.747,11219.96,1142.013,424.923,371246.662,18113.856,8238.292,415.842,69618.895,21189.671,1240.024,435.071,1198.599,420.537,67319.127,28398.954,713438.115,300967.895
0.461499999999432,2.268,0.255,2.268,0.255,0.22,0.217,0.22,0.217,0.22,0.218,0.22,0.218,1.962,0.055,1.962,0.055,1.962,0.102,15.114,4.754,15.119,5.445,393.051,17.361,15.114,0.691,423.593,123.973,13.501,4.576,13.484,4.57,423.595,173.687,423.592,173.686,254907.258,28643,507798.165,57059.43,10836.189,10654.598,21099.745,20748.755,1339.998,1323.379,2619.804,2587.313,24320.055,687.62,38688.782,1093.879,129.071,6.693,33217.461,10448.972,1103.501,397.437,358702.753,15844.149,7960.472,364.168,67276.002,19689.697,1198.369,406.197,1158.336,392.627,65053.629,26673.962,689428.696,282686.686
0.476500000000669,2.194,0.23,2.194,0.23,0.189,0.186,0.189,0.186,0.189,0.187,0.189,0.187,1.893,0.048,1.893,0.048,1.893,0.089,14.591,4.423,14.595,5.088,379.412,15.17,14.591,0.605,408.945,115.083,13.035,4.268,13.018,4.263,408.947,162.976,408.945,162.975,246593.536,25841.276,491236.485,51478.145,9301.526,9140.709,18111.516,17800.68,1150.222,1135.503,2248.777,2220.001,23463.077,592.024,37325.486,941.803,124.523,5.876,32066.797,9721.434,1065.276,371.365,346255.659,13844.659,7684.719,318.587,64949.608,18277.754,1156.997,378.862,1118.346,366.205,62804.083,25029.121,665588.351,265254.908
0.490999999999985,2.102,0.205,2.102,0.205,0.158,0.156,0.158,0.156,0.158,0.156,0.158,0.156,1.806,0.041,1.806,0.041,1.806,0.078,13.925,4.069,13.93,4.701,362.085,13.108,13.925,0.523,390.32,105.625,12.442,3.936,12.426,3.931,390.322,151.198,390.32,151.197,236207.115,23087.186,470545.8,45991.749,7794.006,7655.152,15176.142,14907.755,963.803,951.094,1884.313,1859.465,22381.45,504.086,35604.813,801.909,118.783,5.1,30604.206,8942.385,1016.688,343.081,330442.581,11962.288,7334.213,275.595,61991.549,16775.599,1104.366,349.375,1067.472,337.704,59943.74,23220.219,635274.856,246084.433
0.505499999999302,2.001,0.182,2.001,0.182,0.13,0.127,0.13,0.127,0.13,0.128,0.13,0.128,1.71,0.034,1.71,0.034,1.71,0.067,13.201,3.717,13.205,4.313,343.238,11.243,13.201,0.449,370.063,96.277,11.797,3.605,11.782,3.6,370.065,139.314,370.063,139.313,224872.609,20492.26,447966.446,40822.424,6382.319,6265.209,12427.366,12201.008,789.234,778.514,1543.017,1522.059,21195.774,425.84,33718.619,677.434,112.49,4.393,29012.931,8169.038,963.825,314.774,313242.449,10260.936,6952.869,236.678,58774.274,15291.008,1047.109,319.976,1012.128,309.287,56832.744,21395.195,602304.98,226743.101
0.520500000000538,1.908,0.162,1.908,0.162,0.107,0.105,0.107,0.105,0.107,0.105,0.107,0.105,1.615,0.029,1.615,0.029,1.615,0.057,12.488,3.39,12.492,3.95,324.687,9.634,12.488,0.385,350.175,87.621,11.164,3.296,11.149,3.292,350.177,128.152,350.175,128.151,214380.17,18227.611,427064.564,36311.038,5262.924,5163.586,10247.731,10055.723,650.811,641.717,1272.387,1254.608,20013.506,359.08,31837.846,571.231,106.216,3.777,27446.215,7449.54,911.778,288.285,296312.792,8791.791,6577.409,203.027,55615.646,13916.173,990.881,292.58,957.778,282.805,53778.457,19680.903,569936.099,208575.292
0.534999999999854,1.817,0.144,1.817,0.144,0.088,0.086,0.088,0.086,0.088,0.087,0.088,0.087,1.534,0.025,1.534,0.025,1.534,0.05,11.868,3.104,11.872,3.633,308.56,8.282,11.869,0.332,332.806,80.051,10.61,3.026,10.597,3.022,332.808,118.356,332.806,118.355,204193.649,16183.698,406772.1,32239.382,4331.387,4247.343,8433.884,8271.437,535.617,527.923,1047.175,1032.132,19016.077,304.251,30251.118,484.008,100.922,3.263,26084.138,6821.587,866.529,265.135,281595.195,7558.199,6250.991,174.744,52857.019,12713.953,941.77,268.579,910.308,259.606,51110.957,18176.528,541666.333,192632.143
0.54950000000008,1.706,0.126,1.706,0.126,0.068,0.067,0.068,0.067,0.068,0.067,0.068,0.067,1.437,0.021,1.437,0.021,1.437,0.042,11.119,2.803,11.123,3.295,289.068,7.026,11.12,0.282,311.815,72.131,9.942,2.739,9.929,2.736,311.817,107.794,311.815,107.793,191702.713,14174.645,381889.031,28237.166,3365.122,3298.05,6552.416,6422.773,416.129,409.988,813.566,801.561,17806.533,254.37,28326.953,404.656,94.503,2.781,24437.594,6160.361,811.83,240.467,263806.835,6412.427,5856.402,148.427,49523.251,11455.942,882.412,243.146,852.932,235.023,47887.316,16554.439,507502.666,175441.486
0.564500000000407,1.6,0.11,1.6,0.11,0.053,0.052,0.053,0.052,0.053,0.052,0.053,0.052,1.349,0.017,1.349,0.017,1.349,0.036,10.437,2.536,10.441,2.993,271.333,5.969,10.438,0.24,292.689,65.099,9.332,2.484,9.32,2.481,292.691,98.34,292.689,98.339,179868.817,12402.121,358314.847,24706.14,2586.688,2533.756,5036.683,4934.372,319.869,315.022,625.369,615.893,16718.307,213.099,26595.784,339.002,88.727,2.375,22939.226,5572.801,762.053,218.475,247621.15,5447.764,5497.322,126.245,46485.634,10339.18,828.32,220.485,800.648,213.119,44950.043,15102.543,476373.876,160054.507
0.579499999999825,1.524,0.098,1.524,0.098,0.041,0.04,0.041,0.04,0.041,0.04,0.041,0.04,1.279,0.015,1.279,0.015,1.279,0.031,9.904,2.319,9.907,2.749,257.446,5.126,9.904,0.206,277.756,59.396,8.856,2.277,8.845,2.274,277.757,90.698,277.756,90.697,171295.884,11013.267,341236.796,21939.418,2019.848,1977.452,3932.958,3851.01,249.773,245.891,488.327,480.737,15851.606,180.262,25217.021,286.764,84.128,2.049,21765.98,5095.665,723.077,200.637,234948.296,4677.86,5216.157,108.529,44113.863,9433.391,786.083,202.123,759.822,195.37,42656.619,13928.925,452068.519,147616.681
0.594000000000051,1.462,0.088,1.462,0.088,0.031,0.03,0.031,0.03,0.031,0.031,0.031,0.031,1.217,0.012,1.217,0.012,1.217,0.027,9.434,2.129,9.437,2.535,245.233,4.42,9.434,0.178,264.64,54.414,8.438,2.096,8.427,2.093,264.641,83.989,264.64,83.989,164265.177,9848.762,327230.996,19619.618,1531.571,1498.618,2982.207,2918.513,189.393,186.376,370.279,364.379,15080.036,153.033,23989.592,243.448,80.033,1.773,20734.089,4678.088,688.797,184.993,223802.489,4033.412,4968.867,93.685,42030.717,8642.105,748.986,186.044,723.964,179.829,40642.288,12898.691,430720.933,136698.411
0.608500000000276,1.38,0.077,1.38,0.077,0.023,0.022,0.023,0.022,0.023,0.022,0.023,0.022,1.148,0.01,1.148,0.01,1.148,0.023,8.904,1.936,8.907,2.315,231.45,3.775,8.904,0.152,249.794,49.383,7.965,1.911,7.955,1.909,249.795,77.051,249.794,77.05,155072.385,8670.285,308918.127,17271.986,1111.283,1086.788,2163.841,2116.494,137.421,135.177,268.669,264.283,14221.36,128.771,22623.596,204.851,75.476,1.521,19569.292,4255.042,650.102,168.993,211223.534,3445.42,4689.727,80.12,39672.9,7843.157,706.989,169.644,683.37,163.976,38362.358,11833.075,406558.573,125405.171
0.623499999999694,1.323,0.069,1.323,0.069,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,1.086,0.009,1.086,0.009,1.086,0.02,8.444,1.77,8.447,2.126,219.484,3.242,8.444,0.131,236.964,45.052,7.556,1.752,7.546,1.75,236.965,71.05,236.963,71.05,148691.323,7755.22,296206.477,15449.095,784.774,767.06,1528.077,1493.838,97.045,95.422,189.73,186.558,13457.715,108.793,21408.776,173.07,71.423,1.31,18558.044,3889.469,616.508,155.141,200303.523,2958.741,4447.384,68.881,37635.105,7155.226,670.69,155.492,648.283,150.297,36391.879,10911.544,385675.725,115638.926
0.638500000000022,1.237,0.06,1.237,0.06,0.011,0.01,0.011,0.01,0.011,0.01,0.011,0.01,1.011,0.007,1.011,0.007,1.011,0.017,7.87,1.59,7.872,1.918,204.552,2.736,7.87,0.11,220.881,40.382,7.044,1.578,7.034,1.576,220.882,64.373,220.88,64.373,139045.041,6764.059,276990.218,13474.614,522.593,510.524,1017.57,994.242,64.624,63.518,126.344,124.183,12529.387,90.41,19931.974,143.826,66.496,1.11,17295.823,3493.762,574.576,139.959,186676.049,2496.483,4144.896,58.186,35080.791,6413.496,625.182,140.03,604.296,135.351,33921.943,9886.086,359499.716,104771.27
